xxxxxx      
SV=25.0,P=10.0,I=60,D=0,MR=0.0,Hys=0.0,H/C=0,Typ=0,
DateTime,PV(ch1),SV,MV,ch2,ch3,ch4,cjt,Stop/Run,Auto/Manual,P_MV,I_MV,D_MV,En
2022/02/12 10:59:00.522,22.6,25.0,72.0,32.8,21.5,20.9,19.2,Run,Auto,23.0,48.9,0.0,2.3
2022/02/12 10:59:02.522,22.8,25.0,70.8,32.9,21.5,20.9,19.2,Run,Auto,21.1,49.6,0.0,2.1
2022/02/12 10:59:04.521,23.0,25.0,69.4,32.9,21.6,21.0,19.2,Run,Auto,19.1,50.3,0.0,1.9
2022/02/12 10:59:06.527,23.2,25.0,68.6,32.9,21.7,21.1,19.2,Run,Auto,17.6,50.9,0.0,1.7
2022/02/12 10:59:08.527,23.3,25.0,67.9,32.8,21.8,21.0,19.2,Run,Auto,16.4,51.5,0.0,1.6
2022/02/12 10:59:10.532,23.4,25.0,67.1,32.9,21.9,21.0,19.2,Run,Auto,15.0,52.0,0.0,1.5
2022/02/12 10:59:12.531,23.6,25.0,66.0,32.9,22.0,21.2,19.2,Run,Auto,13.4,52.5,0.0,1.3
2022/02/12 10:59:14.531,23.7,25.0,65.8,32.8,22.1,21.1,19.2,Run,Auto,12.8,52.9,0.0,1.2
2022/02/12 10:59:16.536,23.6,25.0,66.5,32.8,22.2,21.2,19.2,Run,Auto,13.1,53.3,0.0,1.3
2022/02/12 10:59:18.535,23.7,25.0,66.7,32.8,22.3,21.3,19.2,Run,Auto,12.9,53.8,0.0,1.2
2022/02/12 10:59:18.535,23.7,25.0,66.7,32.8,22.3,21.3,19.2,Run,Auto,12.9,53.8,0.0,1.2
2022/02/12 10:59:20.541,23.8,25.0,66.1,32.8,22.3,21.5,19.2,Run,Auto,11.8,54.2,0.0,1.1
2022/02/12 10:59:22.540,23.8,25.0,66.3,32.6,22.4,21.4,19.2,Run,Auto,11.6,54.6,0.0,1.1
2022/02/12 10:59:24.540,23.7,25.0,67.1,32.6,22.5,21.4,19.2,Run,Auto,12.0,55.0,0.0,1.2
2022/02/12 10:59:26.544,23.7,25.0,68.0,32.7,22.5,21.5,19.2,Run,Auto,12.6,55.4,0.0,1.2
2022/02/12 10:59:28.544,23.6,25.0,69.6,32.7,22.6,21.6,19.2,Run,Auto,13.7,55.8,0.0,1.3
